alex,burke1,wrote first comments,5
alex,burke1,got new comment,d,meaning,alex_p5m11,5,
alex,burke1,got new comment,d,structure,alex_p5m10,5,
alex,burke1,got new comment,d,language,alex_p5m9,5,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,5
alex,burke1,got new comment,d,meaning,alex_p5m11,5,
alex,burke1,got new comment,d,structure,alex_p5m10,5,
alex,burke1,got new comment,d,language,alex_p5m9,5,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,5
alex,burke1,got new comment,d,meaning,alex_p5m11,5,
alex,burke1,got new comment,d,structure,alex_p5m10,5,
alex,burke1,got new comment,d,language,alex_p5m9,5,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,3
alex,burke1,got new comment,c,meaning,alex_p3m8,3,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,got new comment,c,structure,alex_p3m7,3,
alex,burke1,got new comment,c,language,alex_p3m6,3,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,2
alex,burke1,got new comment,b,meaning,alex_p2m5,2,
alex,burke1,got new comment,b,structure,alex_p2m4,2,
alex,burke1,got new comment,b,language,alex_p2m3,2,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,
alex,burke1,wrote first comments,1
alex,burke1,got new comment,a,meaning,alex_p1m2,1,
alex,burke1,got new comment,a,structure,alex_p1m1,1,
alex,burke1,got new comment,a,language,alex_p1m0,1,






































































































































































































































































